x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
350	5.05757858699035e-05	0.000326797385620915	0	93	7	0	87	3	8.16993464052288e-05	0.000326797385620915	0	35	7	7.00280112044818e-05	0.000280112044817927	0	0.000140056022408964
351	2.18837535014006e-05	0.000140056022408964	0	112	8	0	99	7	3.50140056022409e-05	0.000140056022408964	0	29	8	3.06372549019608e-05	0.000122549019607843	0	0
352	3.20961718020542e-05	0.000140056022408964	0	100	9	0	94	8	6.12745098039216e-05	0.000122549019607843	0	39	7	3.50140056022409e-05	0.000140056022408964	0	0.000140056022408964
353	1.36165577342048e-05	0.000108932461873638	0	92	6	0	78	7	0	0	0	31	9	4.08496732026144e-05	0.000108932461873638	0	0
354	3.4041394335512e-05	0.000326797385620915	0	94	8	0	86	3	0	0	0	26	6	0.000102124183006536	0.000326797385620915	0	0
355	8.16993464052288e-06	0.000196078431372549	0	96	6	0	79	3	0	0	0	36	5	2.45098039215686e-05	0.000196078431372549	0	0.000196078431372549
356	2.99564270152505e-05	0.000196078431372549	0	90	8	0	84	5	4.90196078431373e-05	0.000196078431372549	0	33	12	4.08496732026144e-05	8.16993464052288e-05	0	0
357	1.1671335200747e-05	0.000140056022408964	0	104	9	0	107	7	3.50140056022409e-05	0.000140056022408964	0	36	5	0	0	0	0
358	0.000243751346692523	0.000678733031674208	0	97	13	0.000678733031674208	79	5	0	0	0	30	7	5.25210084033613e-05	0.000140056022408964	0	0
359	5.44662309368192e-05	0.000326797385620915	0	83	6	0	89	6	0.000163398692810458	0.000326797385620915	0	47	4	0	0	0	0
360	8.16993464052288e-06	0.000196078431372549	0	97	3	0	83	3	0	0	0	34	5	2.45098039215686e-05	0.000196078431372549	0	0
361	6.8082788671024e-05	0.00065359477124183	0	93	6	0	78	10	0	0	0	34	3	0.000204248366013072	0.00065359477124183	0	0.000326797385620915
362	1.22549019607843e-05	9.80392156862745e-05	0	94	5	0	68	4	0	0	0	26	10	3.67647058823529e-05	9.80392156862745e-05	0	9.80392156862745e-05
363	6.5359477124183e-05	0.000245098039215686	0	91	19	0	85	8	0.000122549019607843	0.000245098039215686	0	36	5	7.35294117647059e-05	0.000196078431372549	0	0.000196078431372549
364	2.45098039215686e-05	0.000196078431372549	0	103	4	0	84	5	0	0	0	35	5	7.35294117647059e-05	0.000196078431372549	0	0.000196078431372549
365	8.10509388940761e-05	0.000326797385620915	0	104	6	0	91	9	0.000190631808278867	0.000326797385620915	0.000108932461873638	32	7	5.25210084033613e-05	0.000140056022408964	0	0.000140056022408964
366	0.000231481481481481	0.00065359477124183	0	102	9	0.00065359477124183	92	6	4.08496732026144e-05	0.000163398692810458	0	36	5	0	0	0	0
367	5.44662309368192e-05	0.000980392156862745	0	92	9	0	89	6	4.08496732026144e-05	0.000163398692810458	0	41	1	0.000122549019607843	0.000980392156862745	0	0
368	5.44662309368192e-05	0.000163398692810458	0	96	3	0	81	6	0.000122549019607843	0.000163398692810458	0	41	6	4.08496732026144e-05	0.000163398692810458	0	0.000163398692810458
369	1.02124183006536e-05	0.000122549019607843	0	93	6	0	82	3	0	0	0	37	8	3.06372549019608e-05	0.000122549019607843	0	0.000122549019607843
370	8.53304284676834e-05	0.000392156862745098	0	86	5	0	71	9	0.000108932461873638	0.000217864923747277	0	37	5	0.000147058823529412	0.000392156862745098	0	0
371	2.52878929349518e-05	0.000326797385620915	0	95	6	0	91	7	3.50140056022409e-05	0.000140056022408964	0	38	3	4.08496732026144e-05	0.000326797385620915	0	0
372	9.25925925925926e-05	0.000588235294117647	0	93	6	0	98	9	8.16993464052288e-05	0.000108932461873638	0	32	5	0.000196078431372549	0.000588235294117647	0	0
373	2.04248366013072e-05	0.000490196078431373	0	83	9	0	72	3	0	0	0	36	2	6.12745098039216e-05	0.000490196078431373	0	0
374	2.04248366013072e-05	0.000245098039215686	0	88	5	0	85	6	0	0	0	42	8	6.12745098039216e-05	0.000245098039215686	0	0.000122549019607843
375	5.1062091503268e-05	0.000245098039215686	0	82	5	0	78	6	0.000122549019607843	0.000163398692810458	0	28	4	3.06372549019608e-05	0.000245098039215686	0	0
376	2.45098039215686e-05	0.000196078431372549	0	83	9	0	74	5	4.90196078431373e-05	0.000196078431372549	0	48	5	2.45098039215686e-05	0.000196078431372549	0	0
377	4.08496732026144e-05	0.000490196078431373	0	101	4	0	89	2	0.000122549019607843	0.000490196078431373	0	27	4	0	0	0	0
378	5.44662309368192e-05	0.00065359477124183	0	84	7	0	96	2	0	0	0	46	3	0.000163398692810458	0.00065359477124183	0	0
379	5.17429193899782e-05	0.000392156862745098	0	93	11	0	93	6	8.16993464052288e-05	0.000163398692810458	0	37	5	7.35294117647059e-05	0.000392156862745098	0	0
