x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
722	1.36165577342048e-05	0.000163398692810458	0	0	2	0	0	1	0	0	0	5	6	4.08496732026144e-05	0.000163398692810458	0	0
723	1.63398692810458e-05	0.000196078431372549	0	1	1	0	1	1	0	0	0	3	5	4.90196078431373e-05	0.000196078431372549	0	0
724	1.36165577342048e-05	0.000108932461873638	0	0	2	0	1	2	0	0	0	8	9	4.08496732026144e-05	0.000108932461873638	0	0
725	NA	NA	NA	0	1	0	0	0	NA	NA	NA	4	8	4.59558823529412e-05	0.000122549019607843	0	0.000122549019607843
726	1.36165577342048e-05	0.000326797385620915	0	0	3	0	1	2	0	0	0	4	3	4.08496732026144e-05	0.000326797385620915	0	0
727	NA	NA	NA	0	0	NA	0	1	0	0	0	1	8	1.53186274509804e-05	0.000122549019607843	0	0
728	5.83566760037348e-06	0.000140056022408964	0	0	1	0	0	1	0	0	0	5	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
729	NA	NA	NA	0	2	0	1	0	NA	NA	NA	2	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
730	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	4	10	8.57843137254902e-05	0.000196078431372549	0	0
731	4.08496732026144e-05	0.000490196078431373	0	0	2	0	0	2	0.000122549019607843	0.000490196078431373	0	0	5	0	0	0	0
732	NA	NA	NA	1	0	NA	0	1	0	0	0	7	7	3.50140056022409e-05	0.000140056022408964	0	0
733	2.5531045751634e-05	0.000245098039215686	0	0	4	0	0	1	0	0	0	5	8	7.6593137254902e-05	0.000245098039215686	0	0.000122549019607843
734	NA	NA	NA	0	1	0	2	0	NA	NA	NA	4	5	0	0	0	0
735	NA	NA	NA	1	0	NA	1	1	0	0	0	2	11	3.34224598930481e-05	8.9126559714795e-05	0	0
736	NA	NA	NA	0	1	0	1	0	NA	NA	NA	5	9	4.08496732026144e-05	0.000108932461873638	0	0
737	6.8082788671024e-06	0.000163398692810458	0	0	1	0	0	1	0	0	0	4	6	2.04248366013072e-05	0.000163398692810458	0	0.000163398692810458
738	0	0	0	2	3	0	1	1	0	0	0	4	6	0	0	0	0
739	NA	NA	NA	0	2	0	0	0	NA	NA	NA	4	11	1.11408199643494e-05	8.9126559714795e-05	0	0
740	5.71895424836601e-05	0.000490196078431373	0	0	1	0	0	2	0.000122549019607843	0.000490196078431373	0	3	5	4.90196078431373e-05	0.000196078431372549	0	0
741	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	2	8	6.12745098039216e-05	0.000245098039215686	0	0.000245098039215686
742	0	0	0	1	2	0	2	2	0	0	0	5	4	0	0	0	0.000245098039215686
743	NA	NA	NA	0	0	NA	0	3	0	0	0	1	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
744	0	0	0	0	2	0	0	2	0	0	0	9	6	0	0	0	0
745	0	0	0	0	3	0	0	2	0	0	0	5	5	0	0	0	0
