x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
301	5.04947349310094e-05	0.000217864923747277	0	398	25	0	457	9	0.000136165577342048	0.000217864923747277	0	147	8	1.53186274509804e-05	0.000122549019607843	0	0
302	9.6677559912854e-05	0.000392156862745098	0	417	21	0	467	12	0.00014297385620915	0.000245098039215686	0	168	5	0.000147058823529412	0.000392156862745098	0	0
303	5.97726835832372e-05	0.000367647058823529	0	458	18	0	527	17	7.20876585928489e-05	0.000115340253748558	0	186	8	0.000107230392156863	0.000367647058823529	0	0.000245098039215686
304	8.0256116783631e-05	0.000140056022408964	0	412	31	9.4876660341556e-05	446	28	0.000105042016806723	0.000140056022408964	7.00280112044818e-05	146	9	4.08496732026144e-05	0.000108932461873638	0	0.000108932461873638
305	5.76085134908664e-05	0.000301659125188537	0	399	18	0	497	13	0.000131975867269985	0.000301659125188537	0	177	9	4.08496732026144e-05	0.000108932461873638	0	0
306	0.000113503734827264	0.000245098039215686	0	438	15	0.000196078431372549	472	14	5.25210084033613e-05	0.000140056022408964	0	161	8	9.19117647058824e-05	0.000245098039215686	0	0.000122549019607843
307	2.72331154684096e-05	0.000261437908496732	0	386	12	0	439	15	8.16993464052288e-05	0.000261437908496732	0	165	4	0	0	0	0
308	5.27641612200436e-05	0.000196078431372549	0	426	14	0	464	15	8.16993464052288e-05	0.000196078431372549	0	160	8	7.6593137254902e-05	0.000122549019607843	0	0.000245098039215686
309	7.33199262611027e-05	0.000326797385620915	0	455	15	0	484	13	5.65610859728507e-05	0.000150829562594268	0	194	9	0.000163398692810458	0.000326797385620915	0	0.000326797385620915
310	2.90486564996369e-05	0.000217864923747277	0	434	13	0	480	15	3.26797385620915e-05	6.5359477124183e-05	0	158	9	5.44662309368192e-05	0.000217864923747277	0	0
311	0.000232719350366409	0.000588235294117647	0	416	20	0.000588235294117647	440	15	6.5359477124183e-05	0.000130718954248366	0	142	11	4.45632798573975e-05	8.9126559714795e-05	0	0.00017825311942959
312	3.89044506691565e-05	0.000140056022408964	0	444	20	0	482	21	8.16993464052288e-05	0.000140056022408964	4.66853408029879e-05	187	7	3.50140056022409e-05	0.000140056022408964	0	0
313	2.56206283683064e-05	8.16993464052288e-05	0	418	11	0	439	19	2.57997936016512e-05	5.15995872033024e-05	0	161	12	5.1062091503268e-05	8.16993464052288e-05	0	0.000163398692810458
314	0.000151040808480255	0.000346020761245675	0	428	17	0.000346020761245675	464	17	7.20876585928489e-05	0.000173010380622837	0	150	7	3.50140056022409e-05	0.000140056022408964	0	0
315	6.31313131313131e-05	0.000245098039215686	0	445	13	0	437	12	0.000122549019607843	0.000245098039215686	0	158	11	6.68449197860963e-05	0.00017825311942959	0	0
316	0.00013432273494193	0.000309597523219814	0	420	19	0.000309597523219814	456	14	5.25210084033613e-05	0.000140056022408964	0	149	9	4.08496732026144e-05	0.000108932461873638	0	0
317	5.88715878508266e-05	0.000173010380622837	0	398	23	0	424	17	0.000115340253748558	0.000173010380622837	5.76701268742791e-05	150	6	6.12745098039216e-05	0.000163398692810458	0	0
318	5.20347027699969e-05	0.000163398692810458	0	417	15	0	459	7	0.000105042016806723	0.000140056022408964	0	171	12	5.1062091503268e-05	0.000163398692810458	0	8.16993464052288e-05
319	5.31045751633987e-05	0.000392156862745098	0	427	13	0	444	5	9.80392156862745e-05	0.000392156862745098	0	149	4	6.12745098039216e-05	0.000245098039215686	0	0.000245098039215686
320	6.63807189542484e-05	0.000367647058823529	0	397	18	0	458	16	0.000122549019607843	0.000245098039215686	0	149	8	7.6593137254902e-05	0.000367647058823529	0	0.000367647058823529
321	7.14869281045752e-05	0.000326797385620915	0	392	13	0	442	15	0.000163398692810458	0.000326797385620915	6.5359477124183e-05	174	12	5.1062091503268e-05	0.000163398692810458	0	0
322	0.000326797385620915	0.000735294117647059	0	391	16	0.000735294117647059	423	14	0.000140056022408964	0.000210084033613445	7.00280112044818e-05	161	7	0.000105042016806723	0.000140056022408964	0	0.000140056022408964
323	0.000134061200237671	0.000267379679144385	0	404	22	0.000267379679144385	414	14	0.000122549019607843	0.000210084033613445	7.00280112044818e-05	141	10	1.22549019607843e-05	9.80392156862745e-05	0	9.80392156862745e-05
324	0.000127995642701525	0.000261437908496732	0	433	12	0.000245098039215686	470	15	8.16993464052288e-05	0.000261437908496732	0	166	15	5.71895424836601e-05	0.000196078431372549	0	0
325	1.90631808278867e-05	0.000163398692810458	0	430	13	0	462	15	1.63398692810458e-05	6.5359477124183e-05	0	178	6	4.08496732026144e-05	0.000163398692810458	0	0
326	8.51034858387799e-05	0.000326797385620915	0	403	16	0	458	12	0.000163398692810458	0.000326797385620915	0	151	4	9.19117647058824e-05	0.000245098039215686	0	0
327	5.14191690662279e-05	0.000150829562594268	0	430	20	0	471	13	0.000131975867269985	0.000150829562594268	7.54147812971342e-05	173	11	2.22816399286988e-05	8.9126559714795e-05	0	8.9126559714795e-05
328	3.50140056022409e-05	0.000140056022408964	0	443	17	0	485	14	7.00280112044818e-05	0.000140056022408964	0	168	14	3.50140056022409e-05	7.00280112044818e-05	0	0.000140056022408964
329	1.92577030812325e-05	9.80392156862745e-05	0	437	25	0	460	20	4.90196078431373e-05	9.80392156862745e-05	0	175	14	8.75350140056022e-06	7.00280112044818e-05	0	7.00280112044818e-05
330	0.000142330436448084	0.000261437908496732	0	389	13	0.000226244343891403	429	15	0.000130718954248366	0.000261437908496732	6.5359477124183e-05	181	7	7.00280112044818e-05	0.000140056022408964	0	0
331	2.86478227654698e-05	0.000140056022408964	0	393	18	0	482	14	5.25210084033613e-05	0.000140056022408964	0	151	11	3.34224598930481e-05	8.9126559714795e-05	0	0
332	5.88055735114559e-05	0.000280112044817927	0	422	21	0	426	13	1.88536953242836e-05	7.54147812971342e-05	0	143	7	0.000157563025210084	0.000280112044817927	0	0
333	8.4837074926589e-05	0.000163398692810458	0	456	23	0.000127877237851662	498	20	8.57843137254902e-05	9.80392156862745e-05	4.90196078431373e-05	179	6	4.08496732026144e-05	0.000163398692810458	0	0
334	7.75800516284945e-05	0.000420168067226891	0	393	15	0	424	17	5.76701268742791e-05	0.000115340253748558	0	157	7	0.000175070028011204	0.000420168067226891	0	0
335	0.000146864301276066	0.000280112044817927	0	396	21	0.000280112044817927	443	14	0.000140056022408964	0.000210084033613445	7.00280112044818e-05	175	6	2.04248366013072e-05	0.000163398692810458	0	0.000163398692810458
336	4.02212166918049e-05	0.000226244343891403	0	434	16	0	474	10	7.35294117647059e-05	9.80392156862745e-05	0	175	13	4.71342383107089e-05	0.000226244343891403	0	0.000150829562594268
337	4.45632798573975e-05	0.000210084033613445	0	402	19	0	429	14	0.000122549019607843	0.000210084033613445	0	169	11	1.11408199643494e-05	8.9126559714795e-05	0	0
338	4.19843863471314e-05	0.000108932461873638	0	401	9	0	432	18	9.53159041394335e-05	0.000108932461873638	5.44662309368192e-05	129	12	3.06372549019608e-05	8.16993464052288e-05	0	0
339	2.49636891793755e-05	0.000217864923747277	0	416	16	0	453	12	2.04248366013072e-05	8.16993464052288e-05	0	180	9	5.44662309368192e-05	0.000217864923747277	0	0.000108932461873638
340	4.71716464363523e-05	0.000163398692810458	0	415	8	0	443	14	7.00280112044818e-05	7.00280112044818e-05	7.00280112044818e-05	167	12	7.14869281045752e-05	0.000163398692810458	0	0
341	4.62364432952668e-05	0.000150829562594268	0	373	15	0	455	14	3.50140056022409e-05	7.00280112044818e-05	0	144	13	0.00010369532428356	0.000150829562594268	0	7.54147812971342e-05
342	0.000135701855561626	0.000326797385620915	0	382	19	0.000154798761609907	418	17	0.000129757785467128	0.000173010380622837	0.000115340253748558	172	12	0.000122549019607843	0.000326797385620915	0	8.16993464052288e-05
343	5.43661091887735e-05	0.000173010380622837	0	378	16	0	390	17	8.65051903114187e-05	0.000173010380622837	0	153	8	7.6593137254902e-05	0.000122549019607843	0	0
344	5.2196804647785e-05	0.000294117647058824	0	435	15	0	459	18	9.53159041394335e-05	0.000163398692810458	0	139	10	6.12745098039216e-05	0.000294117647058824	0	9.80392156862745e-05
345	7.89760348583878e-05	0.00035650623885918	0	421	11	0	458	15	0.00011437908496732	0.000130718954248366	6.5359477124183e-05	144	11	0.000122549019607843	0.00035650623885918	0	0.00017825311942959
346	1.1671335200747e-05	0.000140056022408964	0	423	15	0	453	7	3.50140056022409e-05	0.000140056022408964	0	169	3	0	0	0	0
347	2.5531045751634e-05	0.000183823529411765	0	413	9	0	482	16	7.6593137254902e-05	0.000183823529411765	0	191	4	0	0	0	0
348	5.92320261437909e-05	0.000735294117647059	0	409	11	0	446	10	2.45098039215686e-05	9.80392156862745e-05	0	152	4	0.000153186274509804	0.000735294117647059	0	0
349	2.4689362924657e-05	0.000140056022408964	0	416	21	0	416	13	5.65610859728507e-05	7.54147812971342e-05	0	159	7	1.75070028011204e-05	0.000140056022408964	0	0
350	5.01336898395722e-05	0.000196078431372549	0	428	12	0	440	11	8.9126559714795e-05	0.00017825311942959	0	157	10	6.12745098039216e-05	0.000196078431372549	0	9.80392156862745e-05
351	1.72476397966594e-05	0.000108932461873638	0	396	14	0	449	10	2.45098039215686e-05	9.80392156862745e-05	0	166	9	2.72331154684096e-05	0.000108932461873638	0	0
352	2.95025417574437e-05	0.000183823529411765	0	387	17	0	426	16	6.12745098039216e-05	0.000183823529411765	0	152	9	2.72331154684096e-05	0.000108932461873638	0	0.000108932461873638
353	7.40400326797386e-05	0.000210084033613445	0	390	21	0	450	14	0.000122549019607843	0.000210084033613445	0	153	16	9.95710784313725e-05	0.000183823529411765	6.12745098039216e-05	0.000122549019607843
354	8.47630718954248e-05	0.000367647058823529	0	421	10	0	430	5	0.000147058823529412	0.000196078431372549	0	169	8	0.000107230392156863	0.000367647058823529	0	0
355	3.35550887021475e-05	0.000245098039215686	0	413	10	0	417	7	7.00280112044818e-05	0.000140056022408964	0	143	4	3.06372549019608e-05	0.000245098039215686	0	0.000245098039215686
356	8.11688311688312e-05	0.000420168067226891	0	343	12	0	391	7	0.000210084033613445	0.000420168067226891	0	131	11	3.34224598930481e-05	8.9126559714795e-05	0	0
357	5.88429816370993e-05	0.000245098039215686	0	400	18	0	473	14	0.000105042016806723	0.000140056022408964	0	163	12	7.14869281045752e-05	0.000245098039215686	0	8.16993464052288e-05
358	0.000152699968876439	0.000326797385620915	0	432	18	0.000326797385620915	428	7	7.00280112044818e-05	0.000140056022408964	0	148	8	6.12745098039216e-05	0.000122549019607843	0	0
359	6.62672476397967e-05	0.000196078431372549	0	364	7	0	463	10	0.00017156862745098	0.000196078431372549	9.80392156862745e-05	172	9	2.72331154684096e-05	0.000108932461873638	0	0.000108932461873638
